brand,property,brand_standard,manufacturer_code,room_category,subcategory,group_code,hotel_unit_type,hotel_unit_code,product_name,product_specifications,quantity_per_unit,unit_of_measure,product_placement,product_photo,suggested_supplier,brand_name,brand_model,estimated_cost,status,purchase_date,installation_date,comments,standard_id,created_at,updated_at,created_by,updated_by
1,2,A01-0001,,,,,,,test,,,,,,,,,,pending,,,,STD-0001,2026-02-27T21:47:05.700898+00:00,2026-02-27T21:47:05.700943+00:00,1,1
1,2,A01-0005,,,,A01,Corridor,,Console Table - 120 cm,Console Table,,,,,Mobiliaria HD (Bernhardt Interiors B700-112),Bernhardt,Interiors B700-112,,pending,,,,STD-0002,2026-02-27T21:54:31.651240+00:00,2026-02-27T21:54:31.651252+00:00,1,1
1,2,A01-0002,,,,A01,Guestroom,,Side Table - Nightstand 50x50,Nightstand,,,,,Mobiliaria HD (Bernhardt Interiors B300-119),Bernhardt,Interiors B300-119,,pending,,,,STD-0003,2026-02-27T21:54:31.657991+00:00,2026-02-27T21:54:31.658009+00:00,1,1
1,2,A01-0004,,,,A01,Suite,,Coffee Table - 120x60 cm,Coffee Table,,,,,Mobiliaria HD (Bernhardt Interiors B700-055),Bernhardt,Interiors B700-055,,pending,,,,STD-0004,2026-02-27T21:54:31.662732+00:00,2026-02-27T21:54:31.662743+00:00,1,1
1,2,A01-0003,,,,A01,Suite,,Sofa - 3 Seat 220 cm,3-Seat Sofa,,,,,Mobiliaria HD (Bernhardt Interiors B600-201),Bernhardt,Interiors B600-201,,pending,,,,STD-0005,2026-02-27T21:54:31.667650+00:00,2026-02-27T21:54:31.667661+00:00,1,1
1,2,D01-0041,,,,D01,Brasserie,,Plate - B&B 9193,Plate - B&B,,,,,Metalisteria Pylsa (Churchill Buckingham WBP651),Churchill,Buckingham WBP651,,pending,,,,STD-0006,2026-02-27T21:54:31.672402+00:00,2026-02-27T21:54:31.672417+00:00,1,1
1,2,D01-0042,,,,D01,Brasserie,,Plate - dessert / salad 9151,Plate - dessert / salad,,,,,Metalisteria Pylsa (Churchill Buckingham WBP81),Churchill,Buckingham WBP81,,pending,,,,STD-0007,2026-02-27T21:54:31.677813+00:00,2026-02-27T21:54:31.677831+00:00,1,1
1,2,D01-0043,,,,D01,Brasserie,,Plate - dinner 9161,Plate - dinner,,,,,Metalisteria Pylsa (Churchill Buckingham WBP111),Churchill,Buckingham WBP111,,pending,,,,STD-0008,2026-02-27T21:54:31.682699+00:00,2026-02-27T21:54:31.682714+00:00,1,1
1,2,D01-0005,,,,D01,Buffet,,Bowl - cereal HNSU,Bowl - cereal,,,,,Metalisteria Pylsa (Churchill Profile WHNSU1),Churchill,Profile WHNSU1,,pending,,,,STD-0009,2026-02-27T21:54:31.687327+00:00,2026-02-27T21:54:31.687342+00:00,1,1
1,2,D01-0006,,,,D01,Buffet,,Plate Bowl - cereal VP81,Plate Bowl - cereal,,,,,Metalisteria Pylsa (Churchill Profile WHVP81),Churchill,Profile WHVP81,,pending,,,,STD-0010,2026-02-27T21:54:31.691665+00:00,2026-02-27T21:54:31.691674+00:00,1,1
1,2,D01-0009,,,,D01,Coffee Shop,,Coffee cup FC71,Coffee cup,,,,,Metalisteria Pylsa (Churchill Compact WHFTC71),Churchill,Compact WHFTC71,,pending,,,,STD-0011,2026-02-27T21:54:31.697222+00:00,2026-02-27T21:54:31.697232+00:00,1,1
1,2,D01-0007,,,,D01,Coffee Shop,,Espresso cup FC41,Espresso cup,,,,,Metalisteria Pylsa (Churchill Compact WHFC41),Churchill,Compact WHFC41,,pending,,,,STD-0012,2026-02-27T21:54:31.701914+00:00,2026-02-27T21:54:31.701923+00:00,1,1
1,2,D01-0008,,,,D01,Coffee Shop,,Espresso saucer FC51,Espresso saucer,,,,,Metalisteria Pylsa (Churchill Compact WHFS51),Churchill,Compact WHFS51,,pending,,,,STD-0013,2026-02-27T21:54:31.706942+00:00,2026-02-27T21:54:31.706954+00:00,1,1
1,2,D01-0001,,,,D01,Restaurant,,Plate - B&B 16 cm VP65,Plate - B&B 16 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVP651),Churchill,Profile WHVP651,,pending,,,,STD-0014,2026-02-27T21:54:31.711571+00:00,2026-02-27T21:54:31.711582+00:00,1,1
1,2,D01-0004,,,,D01,Restaurant,,Plate - deep dish 25 cm,Plate - deep dish 25 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVRSB1),Churchill,Profile WHVRSB1,,pending,,,,STD-0015,2026-02-27T21:54:31.716125+00:00,2026-02-27T21:54:31.716136+00:00,1,1
1,2,D01-0002,,,,D01,Restaurant,,Plate - dessert / salad 23 cm,Plate - dessert / salad 23 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVP91),Churchill,Profile WHVP91,,pending,,,,STD-0016,2026-02-27T21:54:31.720308+00:00,2026-02-27T21:54:31.720321+00:00,1,1
1,2,D01-0003,,,,D01,Restaurant,,Plate - dinner 26 cm VP10,Plate - dinner 26 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVP101),Churchill,Profile WHVP101,,pending,,,,STD-0017,2026-02-27T21:54:31.724836+00:00,2026-02-27T21:54:31.724846+00:00,1,1
1,2,D01-0040,,,,D01,Seafood Grill,,Flower vase for table SBV1,Flower vase for table,,,,,Metalisteria Pylsa (Churchill Stonecast SWHSSBV1),Churchill,Stonecast SWHSSBV1,,pending,,,,STD-0018,2026-02-27T21:54:31.729785+00:00,2026-02-27T21:54:31.729795+00:00,1,1
1,2,D01-0039,,,,D01,Seafood Grill,,Plate - rectangular 35 cm P141,Plate - rectangular 35 cm,,,,,Metalisteria Pylsa (Churchill Stonecast),Churchill,Stonecast,,pending,,,,STD-0019,2026-02-27T21:54:31.734113+00:00,2026-02-27T21:54:31.734125+00:00,1,1
1,2,D01-0038,,,,D01,Seafood Grill,,Plate - triangle 31 cm R121,Plate - triangle 31 cm,,,,,Metalisteria Pylsa (Churchill Stonecast SWHSTR121),Churchill,Stonecast SWHSTR121,,pending,,,,STD-0020,2026-02-27T21:54:31.738641+00:00,2026-02-27T21:54:31.738653+00:00,1,1
1,2,D02-0003,,,,D02,Bar,,Highball Glass 350 ml,Highball Glass,,,,,Cristalería SA (Libbey Cabos 13 oz 221),Libbey,Cabos 13 oz 221,,pending,,,,STD-0021,2026-02-27T21:54:31.743684+00:00,2026-02-27T21:54:31.743695+00:00,1,1
1,2,D02-0002,,,,D02,Bar,,Wine Glass - White 290 ml,Wine Glass - White,,,,,Cristalería SA (Riedel Ouverture RD86340030),Riedel,Ouverture RD86340030,,pending,,,,STD-0022,2026-02-27T21:54:31.747935+00:00,2026-02-27T21:54:31.747945+00:00,1,1
1,2,D02-0004,,,,D02,Meeting Room,,Water Glass 300 ml,Water Glass,,,,,Cristalería SA (Libbey Cabos 10 oz 220),Libbey,Cabos 10 oz 220,,pending,,,,STD-0023,2026-02-27T21:54:31.752390+00:00,2026-02-27T21:54:31.752405+00:00,1,1
1,2,D02-0005,,,,D02,Restaurant,,Champagne Flute 180 ml,Champagne Flute,,,,,Cristalería SA (Riedel Ouverture RD86340077),Riedel,Ouverture RD86340077,,pending,,,,STD-0024,2026-02-27T21:54:31.757086+00:00,2026-02-27T21:54:31.757097+00:00,1,1
1,2,D02-0001,,,,D02,Restaurant,,Wine Glass - Red 350 ml,Wine Glass - Red,,,,,Cristalería SA (Riedel Ouverture RD86340060),Riedel,Ouverture RD86340060,,pending,,,,STD-0025,2026-02-27T21:54:31.761327+00:00,2026-02-27T21:54:31.761338+00:00,1,1
1,2,D03-0004,,,,D03,Bar,,Spoon - Teaspoon,Teaspoon,,,,,Plaqué SA (Oneida Sestina 2553STSF),Oneida,Sestina 2553STSF,,pending,,,,STD-0026,2026-02-27T21:54:31.765531+00:00,2026-02-27T21:54:31.765541+00:00,1,1
1,2,D03-0005,,,,D03,Brasserie,,Fork - Salad,Salad Fork,,,,,Plaqué SA (Oneida Sestina 2553FSAF),Oneida,Sestina 2553FSAF,,pending,,,,STD-0027,2026-02-27T21:54:31.769540+00:00,2026-02-27T21:54:31.769551+00:00,1,1
1,2,D03-0001,,,,D03,Restaurant,,Fork - Dinner,Dinner Fork,,,,,Plaqué SA (Oneida Sestina 2553FDIF),Oneida,Sestina 2553FDIF,,pending,,,,STD-0028,2026-02-27T21:54:31.773565+00:00,2026-02-27T21:54:31.773575+00:00,1,1
1,2,D03-0002,,,,D03,Restaurant,,Knife - Dinner,Dinner Knife,,,,,Plaqué SA (Oneida Sestina 2553KDVF),Oneida,Sestina 2553KDVF,,pending,,,,STD-0029,2026-02-27T21:54:31.777691+00:00,2026-02-27T21:54:31.777707+00:00,1,1
1,2,D03-0003,,,,D03,Restaurant,,Spoon - Dessert,Dessert Spoon,,,,,Plaqué SA (Oneida Sestina 2553SDSF),Oneida,Sestina 2553SDSF,,pending,,,,STD-0030,2026-02-27T21:54:31.781665+00:00,2026-02-27T21:54:31.781674+00:00,1,1
