hotel_unit_id,building,unit_type,unit_category,display_name,floor_number,notes,created_at,updated_at,created_by,updated_by
1,1,GUESTROOM,Dolphin ,1101,1,K,Dolphin  K,,,
2,1,GUESTROOM,Dolphin ,1102,1,Q,Dolphin  Q,,,
3,1,GUESTROOM,Dolphin ,1103,1,K,Dolphin  K,,,
4,1,GUESTROOM,Dolphin ,1104,1,K,Dolphin  K,,,
5,1,GUESTROOM,Dolphin ,1105,1,Q,Dolphin  Q,,,
6,1,GUESTROOM,Dolphin ,1106,1,K,Dolphin  K,,,
7,1,GUESTROOM,Dolphin ,1107,1,K,Dolphin  K,,,
8,1,GUESTROOM,Dolphin ,1108,1,K,Dolphin  K,,,
9,1,GUESTROOM,Dolphin ,1109,1,K,Dolphin  K,,,
10,1,GUESTROOM,Dolphin ,1110,1,Q,Dolphin  Q,,,
11,1,GUESTROOM,Dolphin ,1111,1,K,Dolphin  K,,,
12,1,GUESTROOM,Dolphin ,1112,1,Q,Dolphin  Q,,,
13,1,GUESTROOM,Dolphin ,1114,1,K,Dolphin  K,,,
14,1,GUESTROOM,Dolphin ,1115,1,Q,Dolphin  Q,,,
15,1,GUESTROOM,Dolphin ,1116,1,K,Dolphin  K,,,
16,1,GUESTROOM,Dolphin ,1117,1,Q,Dolphin  Q,,,
17,1,GUESTROOM,Dolphin ,1118,1,K,Dolphin  K,,,
18,1,GUESTROOM,Dolphin ,1119,1,Q,Dolphin  Q,,,
19,1,GUESTROOM,Dolphin ,1120,1,K,Dolphin  K,,,
20,1,GUESTROOM,Dolphin ,1121,1,Q,Dolphin  Q,,,
21,1,GUESTROOM,Dolphin ,1122,1,K,Dolphin  K,,,
22,1,GUESTROOM,Dolphin ,1123,1,Q,Dolphin  Q,,,
23,1,GUESTROOM,Dolphin ,1124,1,K,Dolphin  K,,,
24,1,GUESTROOM,Dolphin ,1125,1,Q,Dolphin  Q,,,
25,1,GUESTROOM,Dolphin ,1126,1,K,Dolphin  K,,,
26,1,GUESTROOM,Dolphin ,1127,1,Q,Dolphin  Q,,,
27,1,GUESTROOM,Dolphin ,1128,1,K,Dolphin  K,,,
28,1,GUESTROOM,Dolphin ,1129,1,K,Dolphin  K,,,
29,1,GUESTROOM,Standard,1201,2,K,Standard K,,,
30,1,GUESTROOM,Standard,1202,2,K,Standard K,,,
31,1,GUESTROOM,Standard,1203,2,Q,Standard Q,,,
32,1,GUESTROOM,Standard,1204,2,K,Standard K,,,
33,1,GUESTROOM,Standard,1205,2,K,Standard K,,,
34,1,GUESTROOM,Standard,1206,2,K,Standard K,,,
35,1,GUESTROOM,Standard,1207,2,K,Standard K,,,
36,1,GUESTROOM,Standard,1208,2,K,Standard K,,,
37,1,GUESTROOM,Standard,1209,2,K,Standard K,,,
38,1,GUESTROOM,Standard,1210,2,K,Standard K,,,
39,1,GUESTROOM,Standard,1211,2,Q,Standard Q,,,
40,1,GUESTROOM,Standard,1212,2,K,Standard K,,,
41,1,GUESTROOM,Standard,1214,2,K,Standard K,,,
42,1,GUESTROOM,Standard,1215,2,K,Standard K,,,
43,1,GUESTROOM,Standard,1216,2,Q,Standard Q,,,
44,1,GUESTROOM,Standard,1217,2,K,Standard K,,,
45,1,GUESTROOM,Standard,1218,2,K,Standard K,,,
46,1,GUESTROOM,Standard,1219,2,Q,Standard Q,,,
47,1,GUESTROOM,Standard,1220,2,K,Standard K,,,
48,1,GUESTROOM,Standard,1221,2,K,Standard K,,,
49,1,GUESTROOM,Standard,1222,2,Q,Standard Q,,,
50,1,GUESTROOM,Standard,1223,2,K,Standard K,,,
51,1,GUESTROOM,Standard,1224,2,K,Standard K,,,
