brand_standard_id,brand,manufacturer_code,room_category,subcategory,group_code,hotel_unit_type,hotel_unit_code,product_name,product_specifications,quantity_per_unit,unit_of_measure,product_placement,product_photo,suggested_supplier,brand_name,brand_model,estimated_cost,created_at,updated_at,created_by,updated_by
A01-0001,1,,,,A01,Guestroom,,Desk Chair - Executive,Desk Chair,,,,,Mobiliaria HD (Bernhardt Interiors B445-502),Bernhardt,Interiors B445-502,,2026-02-27T21:45:37.657796+00:00,2026-02-27T21:45:37.657822+00:00,,
A01-0002,1,,,,A01,Guestroom,,Side Table - Nightstand 50x50,Nightstand,,,,,Mobiliaria HD (Bernhardt Interiors B300-119),Bernhardt,Interiors B300-119,,2026-02-27T21:45:37.659033+00:00,2026-02-27T21:45:37.659046+00:00,,
A01-0003,1,,,,A01,Suite,,Sofa - 3 Seat 220 cm,3-Seat Sofa,,,,,Mobiliaria HD (Bernhardt Interiors B600-201),Bernhardt,Interiors B600-201,,2026-02-27T21:45:37.660106+00:00,2026-02-27T21:45:37.660134+00:00,,
A01-0004,1,,,,A01,Suite,,Coffee Table - 120x60 cm,Coffee Table,,,,,Mobiliaria HD (Bernhardt Interiors B700-055),Bernhardt,Interiors B700-055,,2026-02-27T21:45:37.661756+00:00,2026-02-27T21:45:37.661801+00:00,,
A01-0005,1,,,,A01,Corridor,,Console Table - 120 cm,Console Table,,,,,Mobiliaria HD (Bernhardt Interiors B700-112),Bernhardt,Interiors B700-112,,2026-02-27T21:45:37.663510+00:00,2026-02-27T21:45:37.663523+00:00,,
D01-0001,1,,,,D01,Restaurant,,Plate - B&B 16 cm VP65,Plate - B&B 16 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVP651),Churchill,Profile WHVP651,,2026-02-27T21:45:37.664585+00:00,2026-02-27T21:45:37.664595+00:00,,
D01-0002,1,,,,D01,Restaurant,,Plate - dessert / salad 23 cm,Plate - dessert / salad 23 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVP91),Churchill,Profile WHVP91,,2026-02-27T21:45:37.665576+00:00,2026-02-27T21:45:37.665585+00:00,,
D01-0003,1,,,,D01,Restaurant,,Plate - dinner 26 cm VP10,Plate - dinner 26 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVP101),Churchill,Profile WHVP101,,2026-02-27T21:45:37.666512+00:00,2026-02-27T21:45:37.666521+00:00,,
D01-0004,1,,,,D01,Restaurant,,Plate - deep dish 25 cm,Plate - deep dish 25 cm,,,,,Metalisteria Pylsa (Churchill Profile WHVRSB1),Churchill,Profile WHVRSB1,,2026-02-27T21:45:37.667427+00:00,2026-02-27T21:45:37.667436+00:00,,
D01-0005,1,,,,D01,Buffet,,Bowl - cereal HNSU,Bowl - cereal,,,,,Metalisteria Pylsa (Churchill Profile WHNSU1),Churchill,Profile WHNSU1,,2026-02-27T21:45:37.668346+00:00,2026-02-27T21:45:37.668355+00:00,,
D01-0006,1,,,,D01,Buffet,,Plate Bowl - cereal VP81,Plate Bowl - cereal,,,,,Metalisteria Pylsa (Churchill Profile WHVP81),Churchill,Profile WHVP81,,2026-02-27T21:45:37.669250+00:00,2026-02-27T21:45:37.669259+00:00,,
D01-0007,1,,,,D01,Coffee Shop,,Espresso cup FC41,Espresso cup,,,,,Metalisteria Pylsa (Churchill Compact WHFC41),Churchill,Compact WHFC41,,2026-02-27T21:45:37.670189+00:00,2026-02-27T21:45:37.670198+00:00,,
D01-0008,1,,,,D01,Coffee Shop,,Espresso saucer FC51,Espresso saucer,,,,,Metalisteria Pylsa (Churchill Compact WHFS51),Churchill,Compact WHFS51,,2026-02-27T21:45:37.671377+00:00,2026-02-27T21:45:37.671392+00:00,,
D01-0009,1,,,,D01,Coffee Shop,,Coffee cup FC71,Coffee cup,,,,,Metalisteria Pylsa (Churchill Compact WHFTC71),Churchill,Compact WHFTC71,,2026-02-27T21:45:37.672482+00:00,2026-02-27T21:45:37.672493+00:00,,
